iter	RMSE
0	14.39894486
1	13.81094306
2	13.26138054
3	12.73387025
4	12.29952472
5	11.831132
6	11.42876945
7	11.0335916
8	10.6376905
9	10.32470328
10	9.981493149
11	9.700199024
12	9.462141467
13	9.231124866
14	8.974396921
15	8.778832003
16	8.587414319
17	8.366763524
18	8.163158445
19	8.006374584
20	7.871497675
21	7.73413709
22	7.602928268
23	7.4809422
24	7.37519124
25	7.253803692
26	7.142073917
27	7.03397787
28	6.936074368
29	6.851875107
30	6.770255802
31	6.701248131
32	6.633527652
33	6.570041376
34	6.519376961
35	6.443246642
36	6.369567852
37	6.311876858
38	6.271201496
39	6.222369228
40	6.176668317
41	6.130732422
42	6.097612938
43	6.063805985
44	6.026339418
45	5.989826091
46	5.961417622
47	5.940416918
48	5.920461166
49	5.885382933
50	5.86005272
51	5.837367046
52	5.805445635
53	5.787599679
54	5.765115362
55	5.745233809
56	5.728295338
57	5.708989625
58	5.691176973
59	5.675235479
60	5.65049712
61	5.631696343
62	5.618241607
63	5.597811624
64	5.583064783
65	5.571414867
66	5.561638357
67	5.55509503
68	5.538823984
69	5.531350232
70	5.525436022
71	5.511138685
72	5.50045148
73	5.490977259
74	5.481183295
75	5.471040778
76	5.460451932
77	5.448630261
78	5.438699258
79	5.429623698
80	5.419622644
81	5.414736642
82	5.405335649
83	5.395748838
84	5.388070711
85	5.383338167
86	5.376388007
87	5.374253851
88	5.368264673
89	5.364557617
90	5.360520618
91	5.356760458
92	5.351606544
93	5.346374287
94	5.337874916
95	5.330566043
96	5.321336136
97	5.31344324
98	5.310856644
99	5.307772263
100	5.302764365
101	5.297439591
102	5.293226059
103	5.289647774
104	5.284478796
105	5.28088804
106	5.277461426
107	5.270295405
108	5.265840378
109	5.262308579
110	5.258247775
111	5.254936572
112	5.251551404
113	5.250624578
114	5.243260715
115	5.239264075
116	5.230893085
117	5.2273706
118	5.224582741
119	5.221876245
120	5.220764887
121	5.213792658
122	5.211464028
123	5.206066951
124	5.203665373
125	5.200716417
126	5.198387304
127	5.195607061
128	5.19154674
129	5.189187596
130	5.187623206
131	5.185130759
132	5.184585822
133	5.178868391
134	5.176431109
135	5.174493008
136	5.169863323
137	5.167880191
138	5.165534697
139	5.163363709
140	5.16037424
141	5.158752217
142	5.157303658
143	5.153243893
144	5.149651797
145	5.147828155
146	5.14639392
147	5.143391844
148	5.142297754
149	5.141138153
150	5.134480645
151	5.130840578
152	5.129250847
153	5.123575156
154	5.122653338
155	5.120155276
156	5.119028054
157	5.116180735
158	5.11369935
159	5.109918566
160	5.105147901
161	5.10293323
162	5.09923239
163	5.097042366
164	5.094290058
165	5.09148695
166	5.086255769
167	5.083259271
168	5.082405377
169	5.077786393
170	5.075623559
171	5.073462846
172	5.070371318
173	5.066674461
174	5.065587271
175	5.061259539
176	5.056759898
177	5.054500507
178	5.051728171
179	5.049993251
180	5.048985345
181	5.047063325
182	5.04559869
183	5.040646868
184	5.038896217
185	5.037966612
186	5.033663983
187	5.030990066
188	5.029174187
189	5.024522547
190	5.02091684
191	5.020011704
192	5.016934622
193	5.015312498
194	5.014254937
195	5.009999001
196	5.007223474
197	5.003711895
198	5.002157538
199	5.000666034
200	4.99829871
201	4.994631475
202	4.993191609
203	4.992408504
204	4.987410537
