iter	Passed	Remaining
0	1	588
1	1	357
2	1	274
3	1	236
4	2	218
5	2	209
6	2	195
7	2	182
8	3	172
9	3	163
10	3	156
11	3	150
12	3	145
13	4	142
14	4	138
15	4	135
16	4	133
17	4	133
18	5	140
19	6	154
20	6	151
21	6	148
22	6	145
23	7	142
24	7	140
25	7	137
26	7	135
27	7	132
28	8	130
29	8	128
30	8	126
31	8	125
32	8	123
33	8	121
34	9	120
35	9	119
36	9	117
37	9	116
38	9	115
39	9	113
40	10	112
41	10	111
42	10	111
43	10	110
44	10	109
45	10	108
46	11	107
47	11	106
48	11	105
49	11	104
50	11	104
51	12	103
52	12	102
53	12	101
54	12	101
55	12	100
56	12	99
57	13	99
58	13	98
59	13	102
60	14	105
61	15	106
62	15	105
63	15	105
64	15	104
65	15	104
66	16	103
67	16	103
68	16	102
69	16	102
70	16	101
71	17	101
72	17	101
73	17	100
74	17	100
75	17	100
76	18	99
77	18	99
78	18	98
79	18	98
80	18	98
81	19	97
82	19	97
83	19	96
84	19	96
85	20	96
86	20	96
87	20	96
88	20	96
89	21	96
90	21	96
91	21	95
92	21	95
93	21	94
94	22	94
95	22	94
96	22	94
97	22	94
98	23	93
99	23	93
100	23	93
101	23	92
102	23	92
103	24	92
104	24	91
105	24	91
106	24	91
107	24	90
108	25	90
109	25	90
110	26	92
111	26	92
112	28	98
113	29	98
114	29	98
115	29	98
116	29	97
117	30	97
118	30	97
119	30	97
120	30	96
121	31	96
122	31	95
123	31	95
124	31	95
125	31	94
126	32	94
127	32	94
128	32	94
129	32	93
130	33	93
131	33	93
132	33	92
133	33	92
134	34	91
135	34	91
136	34	91
137	34	90
138	34	90
139	35	90
140	35	89
141	35	89
142	35	88
143	35	88
144	35	88
145	36	87
146	36	87
147	36	87
148	36	86
149	37	86
150	37	85
151	37	85
152	37	85
153	37	84
154	37	84
155	38	84
156	38	83
157	38	83
158	38	83
159	38	82
160	39	82
161	39	82
162	39	82
163	39	81
164	40	81
165	40	81
166	40	80
167	40	80
168	40	80
169	41	79
170	41	79
171	41	79
172	41	79
173	42	78
174	42	78
175	42	78
176	42	77
177	42	77
178	43	77
179	43	76
180	43	76
181	43	76
182	43	75
183	43	75
184	44	75
185	44	74
186	44	74
187	44	74
188	44	73
189	45	73
190	45	73
191	45	73
192	45	72
193	45	72
194	46	72
195	46	71
196	46	71
197	46	71
198	46	70
199	47	70
200	47	70
201	47	70
202	47	69
203	48	69
204	48	69
205	48	69
206	48	68
207	48	68
208	49	68
209	49	68
210	49	67
211	49	67
212	49	67
213	50	66
214	50	66
215	50	66
216	50	66
217	50	65
218	51	65
219	51	65
220	51	64
221	51	64
222	51	64
223	51	64
224	52	63
225	52	63
226	52	63
227	52	62
228	52	62
229	53	62
230	53	62
231	53	61
232	53	61
233	54	61
234	54	61
235	54	61
236	54	60
237	55	60
238	55	60
239	55	60
240	55	59
241	55	59
242	55	59
243	56	58
244	56	58
245	56	58
246	56	58
247	56	57
248	57	57
249	57	57
250	57	57
251	57	56
252	57	56
253	58	56
254	58	56
255	58	55
256	58	55
257	58	55
258	59	54
259	59	54
260	59	54
261	59	54
262	59	53
263	60	53
264	60	53
265	60	53
266	60	52
267	60	52
268	61	52
269	61	52
270	61	51
271	61	51
272	61	51
273	61	51
274	62	50
275	62	50
276	62	50
277	62	50
278	62	49
279	63	49
280	63	49
281	63	49
282	63	48
283	63	48
284	64	48
285	64	48
286	64	47
287	64	47
288	64	47
289	65	47
290	65	46
291	65	46
292	65	46
293	65	46
294	66	45
295	66	45
296	66	45
297	66	45
298	66	44
299	67	44
300	67	44
301	67	44
302	67	43
303	67	43
304	68	43
305	68	43
306	68	43
307	68	42
308	68	42
309	68	42
310	69	42
311	69	41
312	69	41
313	69	41
314	69	41
315	70	40
316	70	40
317	70	40
318	70	40
319	70	39
320	71	39
321	71	39
322	71	39
323	71	38
324	71	38
325	72	38
326	72	38
327	72	38
328	72	37
329	72	37
330	73	37
331	73	37
332	73	36
333	73	36
334	73	36
335	74	36
336	74	35
337	74	35
338	74	35
339	75	35
340	75	35
341	75	34
342	75	34
343	75	34
344	75	34
345	76	33
346	76	33
347	76	33
348	76	33
349	76	32
350	77	32
351	77	32
352	77	32
353	77	32
354	77	31
355	78	31
356	78	31
357	78	31
358	78	30
359	78	30
360	79	30
361	79	30
362	79	30
363	79	29
364	79	29
365	80	29
366	80	29
367	80	28
368	80	28
369	80	28
370	81	28
371	81	27
372	81	27
373	81	27
374	81	27
375	82	27
376	82	26
377	82	26
378	82	26
379	82	26
380	83	25
381	83	25
382	83	25
383	83	25
384	83	25
385	84	24
386	84	24
387	84	24
388	84	24
389	84	23
390	84	23
391	85	23
392	85	23
393	85	23
394	85	22
395	85	22
396	86	22
397	86	22
398	86	21
399	86	21
400	86	21
401	87	21
402	87	21
403	87	20
404	87	20
405	87	20
406	88	20
407	88	19
408	88	19
409	88	19
410	88	19
411	88	19
412	89	18
413	89	18
414	89	18
415	89	18
416	89	17
417	90	17
418	90	17
419	90	17
420	90	17
421	90	16
422	91	16
423	91	16
424	91	16
425	91	15
426	91	15
427	92	15
428	92	15
429	92	15
430	92	14
431	92	14
432	92	14
433	93	14
434	93	13
435	93	13
436	93	13
437	93	13
438	94	13
439	94	12
440	94	12
441	94	12
442	94	12
443	95	11
444	95	11
445	95	11
446	95	11
447	95	11
448	95	10
449	96	10
450	96	10
451	96	10
452	96	10
453	96	9
454	97	9
455	97	9
456	97	9
457	97	8
458	97	8
459	97	8
460	98	8
461	98	8
462	98	7
463	98	7
464	98	7
465	99	7
466	99	7
467	99	6
468	99	6
469	99	6
470	100	6
471	100	5
472	100	5
473	100	5
474	100	5
475	101	5
476	101	4
477	101	4
478	101	4
479	101	4
480	101	4
481	102	3
482	102	3
483	102	3
484	102	3
485	102	2
486	103	2
487	103	2
488	103	2
489	103	2
490	104	1
491	104	1
492	104	1
493	104	1
494	104	1
495	104	0
496	105	0
497	105	0
498	105	0
499	105	0
